"Speed 
(RPM)","Torque
(Nm)","Fuel Rate
(g/sec)","BSFC
g/kW*hr","Efficiency
(%)"
2779,42.29,0.8924,261.0,32.4
2779,50.98,0.9987,242.3,34.9
2779,58.53,1.1061,233.8,36.2
2779,66.91,1.2339,228.1,37.1
2779,76.55,1.3790,222.9,38.0
2779,84.12,1.4925,219.5,38.6
2779,93.09,1.6270,216.2,39.2
2779,102.95,1.7745,213.2,39.7
2779,110.70,1.8890,211.1,40.1
2779,117.57,1.9889,209.3,40.5
2779,128.79,2.1488,206.4,41.0
2779,134.25,2.2272,205.2,41.3
2779,141.12,2.3272,204.0,41.5
2779,146.99,2.4211,203.8,41.6
2779,153.55,2.5268,203.6,41.6
2779,159.87,2.6298,203.5,41.6
2779,164.44,2.7049,203.5,41.6
2779,168.56,2.7731,203.5,41.6
2779,172.58,2.8399,203.6,41.6
2779,177.26,2.9188,203.7,41.6
2779,181.55,2.9924,203.9,41.5
2779,185.17,3.0612,204.5,41.4
2779,189.91,3.1628,206.0,41.1
2779,193.48,3.2458,207.5,40.8
2779,198.36,3.3674,210.0,40.3
2779,207.98,3.6339,216.1,39.2
2779,215.22,3.8383,220.6,38.4
2779,218.00,3.9166,222.3,38.1
2957,18.39,0.6183,390.9,21.7
2957,33.61,0.8487,293.6,28.8
2957,42.29,0.9567,262.9,32.2
2957,50.98,1.0692,243.8,34.7
2957,58.53,1.1821,234.8,36.1
2957,66.91,1.3191,229.2,36.9
2957,76.55,1.4732,223.7,37.8
2957,84.12,1.5933,220.2,38.5
2957,93.09,1.7353,216.7,39.1
2957,102.95,1.8906,213.5,39.7
2957,110.70,2.0116,211.2,40.1
2957,117.57,2.1177,209.4,40.4
2957,128.79,2.2876,206.5,41.0
2957,134.25,2.3708,205.3,41.2
2957,141.12,2.4765,204.0,41.5
2957,146.99,2.5760,203.7,41.6
2957,153.55,2.6878,203.5,41.6
2957,159.87,2.7966,203.3,41.6
2957,164.44,2.8760,203.3,41.6
2957,168.56,2.9482,203.3,41.6
2957,172.58,3.0190,203.3,41.6
2957,177.26,3.1026,203.5,41.6
2957,181.55,3.1805,203.6,41.6
2957,185.17,3.2474,203.9,41.5
2957,189.91,3.3456,204.8,41.3
2957,193.48,3.4297,206.1,41.1
2957,198.36,3.5511,208.1,40.7
2957,207.98,3.8106,213.0,39.8
2957,215.22,4.0172,217.0,39.0
2957,218.00,4.0971,218.5,38.8
3077,18.39,0.6486,394.1,21.5
3077,33.61,0.8862,294.6,28.7
3077,42.29,1.0009,264.4,32.0
3077,50.98,1.1182,245.0,34.6
3077,58.53,1.2348,235.7,35.9
3077,66.91,1.3770,229.9,36.8
3077,76.55,1.5370,224.3,37.7
3077,84.12,1.6615,220.6,38.4
3077,93.09,1.8086,217.0,39.0
3077,102.95,1.9693,213.7,39.6
3077,110.70,2.0950,211.4,40.0
3077,117.57,2.2054,209.5,40.4
3077,128.79,2.3827,206.7,41.0
3077,134.25,2.4692,205.5,41.2
3077,141.12,2.5785,204.1,41.5
3077,146.99,2.6809,203.7,41.6
3077,153.55,2.7969,203.5,41.6
3077,159.87,2.9097,203.3,41.6
3077,164.44,2.9921,203.3,41.7
3077,168.56,3.0670,203.3,41.7
3077,172.58,3.1406,203.3,41.6
3077,177.26,3.2274,203.4,41.6
3077,181.55,3.3082,203.6,41.6
3077,185.17,3.3774,203.7,41.6
3077,189.91,3.4726,204.3,41.4
3077,193.48,3.5563,205.3,41.2
3077,198.36,3.6760,207.0,40.9
3077,207.98,3.9316,211.2,40.1
3077,215.22,4.1391,214.8,39.4
3077,218.00,4.2196,216.2,39.2
3200,18.39,0.6804,397.6,21.3
3200,33.61,0.9254,295.9,28.6
3200,42.29,1.0469,265.9,31.8
3200,50.98,1.1702,246.6,34.3
3200,58.53,1.2901,236.8,35.8
3200,66.91,1.4362,230.6,36.7
3200,76.55,1.6022,224.9,37.7
3200,84.12,1.7312,221.1,38.3
3200,93.09,1.8836,217.4,38.9
3200,102.95,2.0502,214.0,39.6
3200,110.70,2.1806,211.6,40.0
3200,117.57,2.2955,209.8,40.4
3200,128.79,2.4810,207.0,40.9
3200,134.25,2.5710,205.8,41.1
3200,141.12,2.6843,204.4,41.4
3200,146.99,2.7883,203.8,41.5
3200,153.55,2.9087,203.5,41.6
3200,159.87,3.0258,203.3,41.6
3200,164.44,3.1113,203.3,41.6
3200,168.56,3.1891,203.3,41.7
3200,172.58,3.2654,203.3,41.6
3200,177.26,3.3555,203.4,41.6
3200,181.55,3.4392,203.5,41.6
3200,185.17,3.5107,203.7,41.6
3200,189.91,3.6055,204.0,41.5
3200,193.48,3.6878,204.8,41.3
3200,198.36,3.8060,206.1,41.1
3200,207.98,4.0585,209.6,40.4
3200,215.22,4.2657,212.9,39.8
3200,218.00,4.3464,214.2,39.5
3359,18.39,0.7208,401.3,21.1
3359,33.61,0.9784,298.0,28.4
3359,42.29,1.1082,268.2,31.6
3359,50.98,1.2396,248.9,34.0
3359,58.53,1.3638,238.5,35.5
3359,66.91,1.5136,231.5,36.6
3359,76.55,1.6873,225.6,37.5
3359,84.12,1.8223,221.7,38.2
3359,93.09,1.9816,217.9,38.9
3359,102.95,2.1560,214.4,39.5
3359,110.70,2.2933,212.0,39.9
3359,117.57,2.4144,210.2,40.3
3359,128.79,2.6111,207.5,40.8
3359,134.25,2.7058,206.3,41.0
3359,141.12,2.8245,204.9,41.3
3359,146.99,2.9287,203.9,41.5
3359,153.55,3.0549,203.6,41.6
3359,159.87,3.1777,203.4,41.6
3359,164.44,3.2673,203.4,41.6
3359,168.56,3.3488,203.3,41.6
3359,172.58,3.4287,203.4,41.6
3359,177.26,3.5229,203.4,41.6
3359,181.55,3.6103,203.5,41.6
3359,185.17,3.6847,203.7,41.6
3359,189.91,3.7831,203.9,41.5
3359,193.48,3.8619,204.3,41.4
3359,198.36,3.9794,205.3,41.2
3359,207.98,4.2297,208.2,40.7
3359,215.22,4.4353,210.9,40.1
3359,218.00,4.5156,212.0,39.9
3582,18.39,0.7741,404.1,21.0
3582,33.61,1.0557,301.5,28.1
3582,42.29,1.1975,271.7,31.2
3582,50.98,1.3397,252.2,33.6
3582,58.53,1.4706,241.2,35.1
3582,66.91,1.6255,233.2,36.3
3582,76.55,1.8092,226.8,37.3
3582,84.12,1.9512,222.6,38.0
3582,93.09,2.1197,218.6,38.7
3582,102.95,2.3073,215.1,39.4
3582,110.70,2.4561,212.9,39.8
3582,117.57,2.5873,211.2,40.1
3582,128.79,2.7999,208.7,40.6
3582,134.25,2.9013,207.4,40.8
3582,141.12,3.0280,205.9,41.1
3582,146.99,3.1368,204.8,41.3
3582,153.55,3.2626,203.9,41.5
3582,159.87,3.3934,203.7,41.6
3582,164.44,3.4888,203.6,41.6
3582,168.56,3.5755,203.6,41.6
3582,172.58,3.6603,203.6,41.6
3582,177.26,3.7601,203.6,41.6
3582,181.55,3.8523,203.7,41.6
3582,185.17,3.9308,203.7,41.6
3582,189.91,4.0341,203.9,41.5
3582,193.48,4.1127,204.0,41.5
3582,198.36,4.2311,204.7,41.4
3582,207.98,4.4816,206.8,40.9
3582,215.22,4.6848,208.9,40.5
3582,218.00,4.7633,209.7,40.4
3813,18.39,0.8326,408.3,20.7
3813,33.61,1.1358,304.8,27.8
3813,42.29,1.2926,275.6,30.7
3813,50.98,1.4450,255.6,33.1
3813,58.53,1.5808,243.5,34.8
3813,66.91,1.7435,234.9,36.0
3813,76.55,1.9393,228.4,37.1
3813,84.12,2.0877,223.8,37.8
3813,93.09,2.2643,219.3,38.6
3813,102.95,2.4698,216.3,39.1
3813,110.70,2.6319,214.4,39.5
3813,117.57,2.7740,212.7,39.8
3813,128.79,3.0022,210.2,40.3
3813,134.25,3.1108,208.9,40.5
3813,141.12,3.2465,207.4,40.8
3813,146.99,3.3631,206.3,41.0
3813,153.55,3.4951,205.2,41.3
3813,159.87,3.6255,204.5,41.4
3813,164.44,3.7219,204.1,41.5
3813,168.56,3.8126,203.9,41.5
3813,172.58,3.9024,203.9,41.5
3813,177.26,4.0076,203.9,41.5
3813,181.55,4.1047,203.9,41.5
3813,185.17,4.1871,203.9,41.5
3813,189.91,4.2954,203.9,41.5
3813,193.48,4.3777,204.0,41.5
3813,198.36,4.4966,204.4,41.4
3813,207.98,4.7433,205.6,41.2
3813,215.22,4.9369,206.8,40.9
3813,218.00,5.0117,207.3,40.8
3970,18.39,0.8802,414.5,20.4
